osm_type,osm_id,name,lat,lon,holes_tag,fairways,hole_lines,tier
way,290222131,Plym Park Golf Course,41.8436,-86.25634,,0,0,raster
way,290464882,Cedar Creek Golf Course,42.27763,-85.27239,,2,3,raster
way,290464888,Coldwater Golf Course,41.98152,-85.0206,,5,18,partial
way,290464891,Greenbriar Golf Course,42.08254,-84.13695,,0,0,raster
way,290464892,Gull Lake View East,42.36714,-85.3817,,21,18,vector
way,290464893,Gull Lake View West,42.36565,-85.39152,,14,18,vector
way,290464894,Hillsdale Country Club,41.89502,-84.61458,,0,0,raster
way,290464895,Irish Hills Golf Club,42.05199,-84.15403,,0,0,raster
way,290464896,Irish Hills Shore Golf Course,42.04875,-84.29977,,0,1,raster
way,290464932,Saint Joe Valley Golf Course,41.9142,-85.47173,,15,12,vector
way,290625084,Calderone Farms Golf Club,42.29889,-84.23383,,1,18,partial
way,290625096,Hankerd Hills Golf Course,42.39291,-84.33531,,24,18,vector
way,290625130,Waterloo Golf Course,42.33926,-84.19526,,0,0,raster
way,290766520,Deme Acres Golf Course,41.89162,-83.69971,,0,18,partial
way,290766541,Crooked Creek Golf Course,41.79696,-83.67272,,18,18,vector
way,290830133,Eastern Hills Golf Club,42.33636,-85.51053,,3,18,partial
way,291034487,Prairie Creek Golf Course,42.83236,-84.56227,,0,0,raster
way,291034489,The Fields Golf Course,43.31219,-84.60281,,4,3,partial
way,291034490,The Kingsley Club,44.60273,-85.55874,,4,18,partial
way,291227554,Maple Brook Golf Course,42.5761,-84.82775,,2,0,raster
way,291486114,Gogebic Country Club,46.46713,-90.11918,,2,0,raster
way,291678452,Ubly Heights Golf & Country Club,43.71556,-82.92431,,0,0,raster
way,291678453,Woodland Hills Golf Club,43.42772,-82.84189,,0,0,raster
way,291704817,Oak Ridge Golf Club,42.72742,-82.75238,,40,18,vector
way,292927530,Blue Heron Golf Course,46.22893,-85.87371,,0,0,raster
way,292927531,Boulder Creek Golf Course,46.52609,-90.06807,,0,0,raster
way,292927532,Calumet Golf Club,47.21087,-88.44898,,0,0,raster
way,292927533,Drummond Island Golf Club,46.01051,-83.74327,,0,0,raster
way,292927535,Gentz's Homestead Golf Course,46.45588,-87.3398,,2,6,raster
way,292927536,Hiawatha Sportsman’s Club Golf Course,46.10458,-85.4519,,0,0,raster
way,292927537,Irish Oaks Golf Course and Driving Range,45.83243,-87.05784,,1,5,raster
way,292927538,Keweenaw Mountain Lodge Golf Course,47.45774,-87.91193,,9,0,vector
way,292927539,L'Anse Golf Club,46.71974,-88.434,,0,0,raster
way,292927540,Les Cheneaux Golf Course,45.9911,-84.3824,,0,0,raster
way,292927541,Nahma Golf Course,45.837,-86.66368,,0,0,raster
